Merge_method,Joint_baseline,Task,Metric,N,Mean_Joint,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
DARE_TIES_D05,MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9898,0.9886,-0.0012,0.5300,0.7500,-0.43,mixed
DARE_TIES_D05,MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6102,0.5784,-0.0319,0.0693,0.2500,-2.08,all_B<A
DARE_TIES_D05,MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9642,0.9712,+0.0070,0.1797,0.2500,1.17,all_B>A
DARE_TIES_D05,MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2472,0.2685,+0.0213,0.3653,0.5000,0.67,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+LRD,clim_retrieve,f1,3,0.8641,0.8549,-0.0093,0.6047,0.5000,-0.35,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+LRD,climate_commitments_actions,f1,3,0.5912,0.6332,+0.0420,0.0814,0.2500,1.90,all_B>A
DARE_TIES_D07,FWEdu+MARK+SYN+LRD,climate_detection,f1,3,0.9507,0.9473,-0.0034,0.0790,0.2500,-1.93,all_B<A
DARE_TIES_D07,FWEdu+MARK+SYN+LRD,climate_specificity,f1,3,0.7110,0.6764,-0.0346,0.0798,0.2500,-1.92,all_B<A
DARE_TIES_D07,FWEdu+MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7392,0.7405,+0.0013,0.9081,0.7500,0.08,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9851,0.9892,+0.0041,0.3495,0.1797,0.70,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6235,0.6155,-0.0080,0.6987,0.7500,-0.26,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9732,0.9696,-0.0036,0.0914,0.2500,-1.78,all_B<A
DARE_TIES_D07,FWEdu+MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2435,0.2617,+0.0182,0.6989,0.7500,0.26,mixed
DARE_TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,clim_retrieve,f1,3,0.8588,0.8549,-0.0039,0.7257,0.7500,-0.23,mixed
