Merge_method,Component,Task,Metric,N,Mean_Component,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
TA_Lambda05,MARK+LRD,climate_sentiment,macro_f1,3,0.7768,0.7101,-0.0667,0.0093,0.2500,-5.95,all_B<A
TA_Lambda05,MARK+LRD,netzero_reduction,macro_f1,3,0.9707,0.9910,+0.0203,0.1400,0.2500,1.38,all_B>A
TA_Lambda05,MARK+LRD,tcfd_recommendations,macro_f1,3,0.6106,0.6034,-0.0072,0.7696,0.7500,-0.19,mixed
TA_Lambda05,MARK+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9694,0.9583,-0.0112,0.1323,0.2500,-1.43,all_B<A
TA_Lambda05,MARK+LRD,wximpactbench,macro_f1,3,0.2574,0.2484,-0.0090,0.6834,0.7500,-0.27,mixed
TA_Lambda05,FWEdu+LRD,clim_retrieve,f1,3,0.8418,0.8094,-0.0323,0.4621,0.7500,-0.52,mixed
TA_Lambda05,FWEdu+LRD,climate_commitments_actions,f1,3,0.6796,0.6751,-0.0045,0.3975,0.5000,-0.62,mixed
TA_Lambda05,FWEdu+LRD,climate_detection,f1,3,0.9535,0.9466,-0.0069,0.1194,0.2500,-1.52,all_B<A
TA_Lambda05,FWEdu+LRD,climate_specificity,f1,3,0.6951,0.6785,-0.0166,0.3169,0.5000,-0.76,mixed
TA_Lambda05,FWEdu+LRD,climate_sentiment,macro_f1,3,0.7693,0.7101,-0.0592,0.0004,0.2500,-30.69,all_B<A
TA_Lambda05,FWEdu+LRD,netzero_reduction,macro_f1,3,0.9892,0.9910,+0.0018,NaN,0.2500,nan,all_B>A
TA_Lambda05,FWEdu+LRD,tcfd_recommendations,macro_f1,3,0.5959,0.6034,+0.0075,0.2844,0.5000,0.84,mixed
TA_Lambda05,FWEdu+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9710,0.9583,-0.0127,0.0642,0.2500,-2.17,all_B<A
TA_Lambda05,FWEdu+LRD,wximpactbench,macro_f1,3,0.2032,0.2484,+0.0452,0.3514,0.5000,0.70,mixed
TA_Lambda05,SYN+LRD,clim_retrieve,f1,3,0.8751,0.8094,-0.0656,0.3084,0.2500,-0.78,all_B<A
TA_Lambda05,SYN+LRD,climate_commitments_actions,f1,3,0.6637,0.6751,+0.0114,0.7683,1.0000,0.19,mixed
TA_Lambda05,SYN+LRD,climate_detection,f1,3,0.9378,0.9466,+0.0088,0.0443,0.2500,2.65,all_B>A
TA_Lambda05,SYN+LRD,climate_specificity,f1,3,0.6937,0.6785,-0.0153,0.1470,0.2500,-1.33,all_B<A
TA_Lambda05,SYN+LRD,climate_sentiment,macro_f1,3,0.7476,0.7101,-0.0375,0.2064,0.2500,-1.06,all_B<A
TA_Lambda05,SYN+LRD,netzero_reduction,macro_f1,3,0.9904,0.9910,+0.0006,0.4226,0.3173,0.58,mixed
TA_Lambda05,SYN+LRD,tcfd_recommendations,macro_f1,3,0.6111,0.6034,-0.0077,0.6693,0.7500,-0.29,mixed
TA_Lambda05,SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9651,0.9583,-0.0068,0.3513,0.5000,-0.70,mixed
TA_Lambda05,SYN+LRD,wximpactbench,macro_f1,3,0.2498,0.2484,-0.0014,0.9818,1.0000,-0.01,mixed
TA_Lambda10,MARK+LRD,clim_retrieve,f1,3,0.8410,0.8495,+0.0085,0.7499,0.7500,0.21,mixed
TA_Lambda10,MARK+LRD,climate_commitments_actions,f1,3,0.7010,0.7118,+0.0107,0.0380,0.2500,2.88,all_B>A
TA_Lambda10,MARK+LRD,climate_detection,f1,3,0.9363,0.9488,+0.0124,0.0808,0.2500,1.91,all_B>A
TA_Lambda10,MARK+LRD,climate_specificity,f1,3,0.6655,0.6845,+0.0190,0.1469,0.2500,1.33,all_B>A
TA_Lambda10,MARK+LRD,climate_sentiment,macro_f1,3,0.7768,0.7696,-0.0072,0.7640,1.0000,-0.20,mixed
TA_Lambda10,MARK+LRD,netzero_reduction,macro_f1,3,0.9707,0.9916,+0.0209,0.1417,0.2500,1.37,all_B>A
TA_Lambda10,MARK+LRD,tcfd_recommendations,macro_f1,3,0.6106,0.6134,+0.0029,0.6811,0.7500,0.27,mixed
TA_Lambda10,MARK+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9694,0.9710,+0.0015,0.0727,0.2500,2.02,all_B>A
TA_Lambda10,MARK+LRD,wximpactbench,macro_f1,3,0.2574,0.2724,+0.0150,0.0836,0.2500,1.87,all_B>A
TA_Lambda10,FWEdu+LRD,clim_retrieve,f1,3,0.8418,0.8495,+0.0077,0.7383,0.7500,0.22,mixed
TA_Lambda10,FWEdu+LRD,climate_commitments_actions,f1,3,0.6796,0.7118,+0.0322,0.0904,0.2500,1.79,all_B>A
